| Transportation | Gibraltar |
| --- | --- |
| Airports: | 1 (2010) |
| Airports - with paved runways: | total: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2010) |
| Roadways: | total: 29 km |
| Roadways: | paved: 29 km (2007) |
| Merchant marine: | total: 265 |
| Merchant marine: | by type: bulk carrier 1, cargo 139, chemical tanker 65, container 35, liquefied gas 2, petroleum tanker 11, roll on/roll off 4, vehicle carrier 8 |
| Merchant marine: | foreign-owned: 250 (Belgium 2, Cyprus 1, Denmark 6, Finland 2, Germany 125, Greece 7, Iceland 1, Italy 4, Jersey 1, Morocco 4, Netherlands 33, Norway 42, Singapore 1, Sweden 12, UAE 5, UK 4) |
| Merchant marine: | note: this country allows large numbers of ships owned by foreign entities to be registered in its national shipping registry and to fly its flag; these ships operate under the laws of the flag state |
| Merchant marine: | registered in other countries: 6 (Liberia 5, Panama 1) (2010) |
| Ports and terminals: | Gibraltar |
