| Transportation |
| --- | --- |
| Railways: | total: 1,201,337 km includes about 190,000 to 195,000 km of electrified routes of which 147,760 km are in Europe, 24,509 km in the Far East, 11,050 km in Africa, 4,223 km in South America, and 4,160 km in North America; note - fastest speed in daily service is 300 km/hr attained by France's Societe Nationale des Chemins-de-Fer Francais (SNCF) Le Train a Grande Vitesse (TGV) - Atlantique line |
| Railways: | broad gauge: 251,153 km |
| Railways: | standard gauge: 710,754 km |
| Railways: | narrow gauge: 239,430 km |
| Highways: | total: NA km |
| Highways: | paved: NA km |
| Highways: | unpaved: NA km |
| Ports and harbors: | Chiba, Houston, Kawasaki, Kobe, Marseille, Mina' al Ahmadi (Kuwait), New Orleans, New York, Rotterdam, Yokohama |
