| Transportation | Belize |
| --- | --- |
| National air transport system: | number of registered air carriers: 2 (2015) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 28 (2015) |
| National air transport system: | annual passenger traffic on registered air carriers: 935,603 (2015) |
| National air transport system: | annual freight traffic on registered air carriers: 2,463,420 mt-km (2015) |
| Civil aircraft registration country code prefix: | V3 (2016) |
| Airports: | 47 (2013) |
| Airports - with paved runways: | total: 6 (2017) |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 (2017) |
| Airports - with paved runways: | 914 to 1,523 m: 2 (2017) |
| Airports - with paved runways: | under 914 m: 3 (2017) |
| Airports - with unpaved runways: | total: 41 (2013) |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 (2013) |
| Airports - with unpaved runways: | 914 to 1,523 m: 11 (2013) |
| Airports - with unpaved runways: | under 914 m: 29 (2013) |
| Roadways: | total: 3,281 km (2017) |
| Roadways: | paved: 601 km (2017) |
| Roadways: | unpaved: 2,680 km (2017) |
| Waterways: | 825 km (navigable only by small craft) (2011) |
| Merchant marine: | total: 764 |
| Merchant marine: | by type: bulk carrier 54, container ship 4, general cargo 383, oil tanker 57, other 266 (2018) |
| Ports and terminals: | major seaport(s): Belize City, Big Creek |
