| Transportation | Liberia |
| --- | --- |
| Railways: | total: 490 km (328 km single-track) |
| Railways: | standard gauge: 345 km 1.435-m gauge |
| Railways: | note: in 1989, Liberia had three rail systems owned and operated by foreign steel and financial interests in conjunction with the Liberian Government; one of these, the Lamco Railroad, closed in 1989 after iron ore production ceased; the other two were shut down by the civil war; large sections of the rail lines have been dismantled; approximately 60 km of railroad track was exported for scrap (2001) |
| Railways: | narrow gauge: 145 km 1.067-m gauge |
| Highways: | total: 10,600 km |
| Highways: | paved: 657 km |
| Highways: | unpaved: 9,943 km |
| Highways: | note: there is major deterioration on all highways due to heavy rains and lack of maintenance (1996 est.) |
| Waterways: | none |
| Ports and harbors: | Buchanan, Greenville, Harper, Monrovia |
| Merchant marine: | total: 1,513 ships (1,000 GRT or over) totaling 51,912,244 GRT/79,297,046 DWT |
| Merchant marine: | note: includes some foreign-owned ships registered here as a flag of convenience: Argentina 9, Australia 2, Austria 15, Belgium 9, Brazil 5, Canada 4, Cayman Islands 1, Chile 7, China 39, Croatia 11, Denmark 4, Ecuador 1, Estonia 1, Germany 437, Greece 154, Hong Kong 69, India 5, Indonesia 1, Israel 1, Italy 5, Japan 90, Latvia 20, Man, Isle of 5, Monaco 56, Netherlands 12, New Zealand 1, Nigeria 1, Norway 103, Pakistan 1, Portugal 5, Russia 66, Saudi Arabia 21, Singapore 20, Slovenia 1, South Africa 1, South Korea 10, Spain 2, Sweden 9, Switzerland 17, Taiwan 29, Turkey 3, Ukraine 4, United Arab Emirates 12, United Kingdom 39, United States 113, Uruguay 3, Vietnam 1 (2002 est.) |
| Merchant marine: | ships by type: barge carrier 3, bulk 313, cargo 89, chemical tanker 167, combination bulk 16, combination ore/oil 32, container 318, liquefied gas 99, multi-functional large-load carrier 4, passenger 23, petroleum tanker 302, refrigerated cargo 69, roll on/roll off 20, short-sea passenger 3, specialized tanker 13, vehicle carrier 42 |
| Airports: | 47 (2001) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2002) |
| Airports - with unpaved runways: | total: 45 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 4 |
| Airports - with unpaved runways: | 914 to 1,523 m: 7 |
| Airports - with unpaved runways: | under 914 m: 34 (2002) |
