| Transportation | World |
| --- | --- |
| Railways: | total: 1,115,205 km |
| Railways: | broad gauge: 257,481 km |
| Railways: | standard gauge: 671,413 km |
| Railways: | narrow gauge: 186,311 km (2003) |
| Highways: | total: 32,345,165 km |
| Highways: | paved: 19,403,061 km |
| Highways: | unpaved: 12,942,104 km (2002) |
| Waterways: | 671,886 km (2004) |
| Merchant marine: | total ships: 30,936 (2005) |
| Airports: | 49,973 (2004) |
