| Transportation | World |
| --- | --- |
| Railways: | total: 1,115,205 km |
| Railways: | broad gauge: 257,481 km |
| Railways: | narrow gauge: 186,311 km (2003) |
| Railways: | standard gauge: 671,413 km |
| Highways: | total: NA km |
| Highways: | paved: NA km |
| Highways: | unpaved: NA km |
| Ports and harbors: | Chiba, Houston, Kawasaki, Kobe, Marseille, Mina' al Ahmadi (Kuwait), New Orleans, New York, Rotterdam, Yokohama |
