| Transportation | Saint Pierre and Miquelon |
| --- | --- |
| Airports: | 2 (2012) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2012) |
| Roadways: | total: 117 km |
| Roadways: | paved: 80 km |
| Roadways: | unpaved: 37 km (2000) |
| Ports and terminals: | Saint-Pierre |
