| Transportation | GRENADA |
| --- | --- |
| National air transport system: | number of registered air carriers: 0 |
| National air transport system: | inventory of registered aircraft operated by air carriers: 0 |
| National air transport system: | annual passenger traffic on registered air carriers: 0 |
| National air transport system: | annual freight traffic on registered air carriers: 0 mt-km (2015) |
| Civil aircraft registration country code prefix: | J3 (2016) |
| Airports: | 3 (2013) |
| Airports - with paved runways: | total: 3 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | under 914 m: 1 (2013) |
| Roadways: | total: 1,127 km |
| Roadways: | paved: 687 km |
| Roadways: | unpaved: 440 km (2001) |
| Ports and terminals: | major seaport(s): Saint George's |
