| Transportation | Dominica |
| --- | --- |
| National air transport system: | number of registered air carriers: 0 (2015) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 0 (2015) |
| National air transport system: | annual passenger traffic on registered air carriers: 0 (2015) |
| National air transport system: | annual freight traffic on registered air carriers: 0 mt-km (2015) |
| Civil aircraft registration country code prefix: | J7 (2016) |
| Airports: | 2 (2013) |
| Airports - with paved runways: | total: 2 (2019) |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 1 |
| Roadways: | total: 1,512 km (2018) |
| Roadways: | paved: 762 km (2018) |
| Roadways: | unpaved: 750 km (2018) |
| Merchant marine: | total: 100 |
| Merchant marine: | by type: general cargo 26, oil tanker 25, other 49 (2018) |
| Ports and terminals: | major seaport(s): Portsmouth, Roseau |
