| Transportation | Saint Lucia |
| --- | --- |
| Highways: | total: 1,210 km |
| Highways: | paved: 63 km |
| Highways: | unpaved: 1,147 km (1999 est.) |
| Ports and harbors: | Castries, Cul-de-Sac, Vieux-Fort |
| Airports: | 2 (2004 est.) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2004 est.) |
