| Transportation | Nauru |
| --- | --- |
| National air transport system: | number of registered air carriers: 1 (2020) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 5 |
| National air transport system: | annual passenger traffic on registered air carriers: 45,457 (2018) |
| National air transport system: | annual freight traffic on registered air carriers: 7.94 million mt-km (2018) |
| Civil aircraft registration country code prefix: | C2 (2016) |
| Airports: | 1 (2013) |
| Airports - with paved runways: | total: 1 (2019) |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Roadways: | total: 30 km (2002) |
| Roadways: | paved: 24 km (2002) |
| Roadways: | unpaved: 6 km (2002) |
| Merchant marine: | total: 2 |
| Merchant marine: | by type: oil tanker 1, other 1 (2019) |
| Ports and terminals: | major seaport(s): Nauru |
